date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:19:27	79957/79957	---MCZ	200	added ('OK')	text/html	etag:W/%22677b7363e14d246ca026bc52121a8fdb%22	https://learnplus.demo.frontendmatter.com/student-dashboard.html	D:/044_KevinS/Semester6/MPPL/ForRio/ForRio/learnplus.demo.frontendmatter.com/student-dashboard.html	(from )
19:19:28	548/548	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2026%20Mar%202022%2012:19:27%20GMT	https://learnplus.demo.frontendmatter.com/robots.txt		(from )
19:19:28	2598/2598	---MCZ	200	added ('OK')	text/css	etag:W/%226f36b1309fbbde634a5d54dd1734274a%22	https://learnplus.demo.frontendmatter.com/assets/vendor/perfect-scrollbar.css	D:/044_KevinS/Semester6/MPPL/ForRio/ForRio/learnplus.demo.frontendmatter.com/assets/vendor/perfect-scrollbar.css	(from https://learnplus.demo.frontendmatter.com/student-dashboard.html)
19:19:28	66490/66490	---MCZ	200	added ('OK')	text/css	etag:W/%22a1ca9d48bb1dd404f60ad2ec0f9d79e9%22	https://learnplus.demo.frontendmatter.com/assets/css/material-icons.css	D:/044_KevinS/Semester6/MPPL/ForRio/ForRio/learnplus.demo.frontendmatter.com/assets/css/material-icons.css	(from https://learnplus.demo.frontendmatter.com/student-dashboard.html)
19:19:29	61460/61460	---MCZ	200	added ('OK')	text/css	etag:W/%220ef6617d4809c7befc7bafe4720a7b96%22	https://learnplus.demo.frontendmatter.com/assets/css/fontawesome.css	D:/044_KevinS/Semester6/MPPL/ForRio/ForRio/learnplus.demo.frontendmatter.com/assets/css/fontawesome.css	(from https://learnplus.demo.frontendmatter.com/student-dashboard.html)
19:19:29	14782/14782	---MCZ	200	added ('OK')	text/css	etag:W/%22315641f20ca718539884495530a364bc%22	https://learnplus.demo.frontendmatter.com/assets/vendor/spinkit.css	D:/044_KevinS/Semester6/MPPL/ForRio/ForRio/learnplus.demo.frontendmatter.com/assets/vendor/spinkit.css	(from https://learnplus.demo.frontendmatter.com/student-dashboard.html)
19:19:29	516389/516389	---MCZ	200	added ('OK')	text/css	etag:W/%22262d2af8ce6ec4ad0b85488bc0d526a3%22	https://learnplus.demo.frontendmatter.com/assets/css/app.css	D:/044_KevinS/Semester6/MPPL/ForRio/ForRio/learnplus.demo.frontendmatter.com/assets/css/app.css	(from https://learnplus.demo.frontendmatter.com/student-dashboard.html)
19:19:30	2955/2955	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2210ece1c35df837fa194f9ec795d2bcdb%22	https://learnplus.demo.frontendmatter.com/assets/images/logo/white.svg	D:/044_KevinS/Semester6/MPPL/ForRio/ForRio/learnplus.demo.frontendmatter.com/assets/images/logo/white.svg	(from https://learnplus.demo.frontendmatter.com/student-dashboard.html)
19:19:30	76432/76432	---MCZ	200	added ('OK')	text/html	etag:W/%2233487aaaec5f91c5cc3675db69cd750d%22	https://learnplus.demo.frontendmatter.com/student-forum.html	D:/044_KevinS/Semester6/MPPL/ForRio/ForRio/learnplus.demo.frontendmatter.com/student-forum.html	(from https://learnplus.demo.frontendmatter.com/student-dashboard.html)
19:19:31	54685/54685	---MCZ	200	added ('OK')	text/html	etag:W/%22260cfd3671eb2bf2317111e0c94340aa%22	https://learnplus.demo.frontendmatter.com/student-help-center.html	D:/044_KevinS/Semester6/MPPL/ForRio/ForRio/learnplus.demo.frontendmatter.com/student-help-center.html	(from https://learnplus.demo.frontendmatter.com/student-dashboard.html)
19:19:31	56975/56975	---MCZ	200	added ('OK')	text/html	etag:W/%22f86b15b62a819dc8e323f5d64e22cf99%22	https://learnplus.demo.frontendmatter.com/student-cart.html	D:/044_KevinS/Semester6/MPPL/ForRio/ForRio/learnplus.demo.frontendmatter.com/student-cart.html	(from https://learnplus.demo.frontendmatter.com/student-dashboard.html)
19:19:31	80757/80757	---MCZ	200	added ('OK')	text/html	etag:W/%2201d61f9d16c1576cd7234c8a0abf7693%22	https://learnplus.demo.frontendmatter.com/student-messages.html	D:/044_KevinS/Semester6/MPPL/ForRio/ForRio/learnplus.demo.frontendmatter.com/student-messages.html	(from https://learnplus.demo.frontendmatter.com/student-dashboard.html)
19:19:32	6715/6715	---M--	200	added ('OK')	image/jpeg	etag:%223ea2098a52a9afa3732c9f87b7d4f510%22	https://learnplus.demo.frontendmatter.com/assets/images/people/110/woman-5.jpg	D:/044_KevinS/Semester6/MPPL/ForRio/ForRio/learnplus.demo.frontendmatter.com/assets/images/people/110/woman-5.jpg	(from https://learnplus.demo.frontendmatter.com/student-dashboard.html)
19:19:32	4271/4271	---M--	200	added ('OK')	image/jpeg	etag:%2278712832f447bf9fd7b48b19a4b84df9%22	https://learnplus.demo.frontendmatter.com/assets/images/people/50/guy-6.jpg	D:/044_KevinS/Semester6/MPPL/ForRio/ForRio/learnplus.demo.frontendmatter.com/assets/images/people/50/guy-6.jpg	(from https://learnplus.demo.frontendmatter.com/student-dashboard.html)
19:19:32	66696/66696	---MCZ	200	added ('OK')	text/html	etag:W/%2279d49de4aaefbbf89c8f110f7cf0baa2%22	https://learnplus.demo.frontendmatter.com/student-account-edit.html	D:/044_KevinS/Semester6/MPPL/ForRio/ForRio/learnplus.demo.frontendmatter.com/student-account-edit.html	(from https://learnplus.demo.frontendmatter.com/student-dashboard.html)
19:19:33	60336/60336	---MCZ	200	added ('OK')	text/html	etag:W/%22449879bbddd549ea252dceedafad9a70%22	https://learnplus.demo.frontendmatter.com/student-profile.html	D:/044_KevinS/Semester6/MPPL/ForRio/ForRio/learnplus.demo.frontendmatter.com/student-profile.html	(from https://learnplus.demo.frontendmatter.com/student-dashboard.html)
19:19:33	6586/6586	---MCZ	200	added ('OK')	text/html	etag:W/%223e08e8a78c25431e8673e3cc62ea576e%22	https://learnplus.demo.frontendmatter.com/guest-login.html	D:/044_KevinS/Semester6/MPPL/ForRio/ForRio/learnplus.demo.frontendmatter.com/guest-login.html	(from https://learnplus.demo.frontendmatter.com/student-dashboard.html)
19:19:33	55514/55514	---MCZ	200	added ('OK')	text/html	etag:W/%222b94a169984729dad71fd466601b3df5%22	https://learnplus.demo.frontendmatter.com/student-account-billing-upgrade.html	D:/044_KevinS/Semester6/MPPL/ForRio/ForRio/learnplus.demo.frontendmatter.com/student-account-billing-upgrade.html	(from https://learnplus.demo.frontendmatter.com/student-dashboard.html)
19:19:34	62217/62217	---MCZ	200	added ('OK')	text/html	etag:W/%224f2a05e09b1fa938f95ed85e3f62857a%22	https://learnplus.demo.frontendmatter.com/student-my-courses.html	D:/044_KevinS/Semester6/MPPL/ForRio/ForRio/learnplus.demo.frontendmatter.com/student-my-courses.html	(from https://learnplus.demo.frontendmatter.com/student-dashboard.html)
19:19:34	61113/61113	---MCZ	200	added ('OK')	text/html	etag:W/%22233519f33044998ca7b5a436bc4f7709%22	https://learnplus.demo.frontendmatter.com/student-take-course.html	D:/044_KevinS/Semester6/MPPL/ForRio/ForRio/learnplus.demo.frontendmatter.com/student-take-course.html	(from https://learnplus.demo.frontendmatter.com/student-dashboard.html)
19:19:35	15118/15118	---M--	200	added ('OK')	image/png	etag:%22135fdb64267111492fe00dc9921e6b18%22	https://learnplus.demo.frontendmatter.com/assets/images/gulp.png	D:/044_KevinS/Semester6/MPPL/ForRio/ForRio/learnplus.demo.frontendmatter.com/assets/images/gulp.png	(from https://learnplus.demo.frontendmatter.com/student-dashboard.html)
19:19:35	13728/13728	---M--	200	added ('OK')	image/png	etag:%228096da7ea1d73687bbca767c336900e8%22	https://learnplus.demo.frontendmatter.com/assets/images/vuejs.png	D:/044_KevinS/Semester6/MPPL/ForRio/ForRio/learnplus.demo.frontendmatter.com/assets/images/vuejs.png	(from https://learnplus.demo.frontendmatter.com/student-dashboard.html)
19:19:35	18354/18354	---M--	200	added ('OK')	image/png	etag:%227302b697bb8af378e415418da3ab3b33%22	https://learnplus.demo.frontendmatter.com/assets/images/nodejs.png	D:/044_KevinS/Semester6/MPPL/ForRio/ForRio/learnplus.demo.frontendmatter.com/assets/images/nodejs.png	(from https://learnplus.demo.frontendmatter.com/student-dashboard.html)
